config,task,rewrites,valid_inputs,rewrite_flip_rate,attack_asr_same20
bert_pwws_mrpc,pair,15,10,0.7,1.0
bert_pwws_qnli,pair,17,16,0.25,1.0
bert_pwws_rte,pair,15,0,,1.0
bert_textfooler_mrpc,pair,17,10,0.3,1.0
bert_textfooler_qnli,pair,20,19,0.1579,1.0
bert_textfooler_rte,pair,15,3,0.6667,1.0
roberta_pwws_mrpc,pair,17,7,0.2857,1.0
roberta_pwws_qnli,pair,15,13,0.2308,1.0
roberta_pwws_rte,pair,16,0,,1.0
roberta_textfooler_mrpc,pair,17,8,0.25,1.0
roberta_textfooler_qnli,pair,17,12,0.0833,1.0
roberta_textfooler_rte,pair,17,2,0.0,1.0
bert_pwws_ag_news,single,10,10,1.0,1.0
bert_pwws_cola,single,15,15,0.0,1.0
bert_pwws_imdb,single,18,18,0.8889,1.0
bert_pwws_mr,single,13,13,0.0769,1.0
bert_pwws_sst2,single,17,17,0.2941,1.0
bert_textfooler_ag_news,single,18,18,1.0,1.0
bert_textfooler_cola,single,15,15,0.0667,1.0
bert_textfooler_imdb,single,18,18,0.7222,1.0
bert_textfooler_mr,single,15,15,0.1333,1.0
bert_textfooler_sst2,single,18,18,0.1667,1.0
roberta_pwws_ag_news,single,13,13,0.9231,1.0
roberta_pwws_cola,single,15,15,0.1333,1.0
roberta_pwws_imdb,single,18,18,0.7778,1.0
roberta_pwws_mr,single,13,13,0.4615,1.0
roberta_pwws_sst2,single,19,19,0.1053,1.0
roberta_textfooler_ag_news,single,17,17,0.7059,1.0
roberta_textfooler_cola,single,13,13,0.0769,1.0
roberta_textfooler_imdb,single,18,18,0.6667,1.0
roberta_textfooler_mr,single,15,15,0.4,1.0
roberta_textfooler_sst2,single,20,20,0.3,1.0
