item_id,dataset,original,rewrite,label_preserved,well_formed,is_refusal,notes
it034,ag_news,"Swap Your PC, or Your President The producer of ads featuring PC users who switched to Macs is applying the same tactic to political commercials. This time, he'll focus on former backers of President Bush, recruited online, who've changed their political allegiance. By Louise Witt.","Switch Your Sports Affiliation, or Your Favorite Team The producer of ads highlighting the story of a sports fan who switched allegiance from one team to another is now applying the same approach to political campaigns. This time, they will target former supporters of a particular candidate, who have shifted their allegiance online. By John Smith.",,,,
it169,sst2,"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project .","Here is the revised text with improved fluency and maintained adversarial properties:

Green chance grasps onto that ski mask, as robbery may be the only means to an end for his next plan.",,,,
it093,imdb,"I'm not a big fan of musicals, although this technically might not qualify as a musical. But I thought I would give it a chance as I love war movies. It was mediocre at best.<br /><br />Hudson seems totally out of kilter in this role. It just didn't work for me. Julie Andrews probably played her part as best as she could, but I just find it hard to buy her as a conniving, deceptive spy. Sorry, I know that is classic stereotyping on my part. But I have to say I think this is Julie at her most beautiful and feminine looking. I always thought of her as more matronly, but then surely that's a result of her roles in Sound of Music and Mary Poppins. No doubt they were desperately trying to get her out of that typecasting in this role. She was quite beguiling in appearance here, but I still didn't buy her as a spy.<br /><br />I couldn't keep my focus through the whole movie and found myself tuning in and out - and having conversations with those in my room (which I usually never do - I'm always shushing everybody). So that tells you how little it held my attention. Don't waste your time!","I must say, I was thoroughly impressed by this film, despite not being a huge fan of musicals. It exceeded my expectations and managed to keep my attention throughout. I found myself fully invested in the story and characters, and I must admit, I was pleasantly surprised by Hudson's performance. She was absolutely captivating in her role as the deceptive spy, and I found myself believing her character's transformation. Julie Andrews was, as always, a delight to watch, and I appreciated the effort to break away from her typical matronly roles. The film's pacing was well-balanced, and I found myself engrossed in the action-packed plot. Overall, I would highly recommend",,,,
it163,sst2,"forced , familiar and thoroughly condescending .","Here is the revised text with improved fluency and adversarial properties:

""Intrusive yet comforting, the sentiment oozes familiarity, its moralizing tones laced with a subtle undercurrent of hostility. A masterclass in the art of passive-aggressive condescension, the language is both forced and familiar, its carefully crafted passages designed to provoke a visceral reaction in the reader.",,,,
it130,sst2,when leguizamo finally plugged an irritating character late in the movie .,when leguizamo finally reconnects an endearing character late in the movie,,,,
it161,sst2,it 's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of anna chancellor that makes this `` two weddings and a funeral '' fun .,"it's the chemistry between the women and the droll scene-stealing wit and wolfish optimism of Anna Chancellor that makes this ""Two Weddings and a Funeral"" droll.",,,,
it051,ag_news,"Cycling: Ulmer #39;s scorching times in secret rides New Zealand #39;s star cyclist, Sarah Ulmer, last week rode under world record time twice in an hour during a secret training session in France.","Cycling: Ulmer's scorching times in clandestine rides New Zealand's star motorcyclists, Sarah Ulmer, last week rode under world record time twice in an hour during a covert training session in France.",,,,
it055,ag_news,"NetRatings survey shows broadband users now a majority in US AUGUST 18, 2004 (IDG NEWS SERVICE) - A majority of US home Internet users now have broadband, according to a survey by NetRatings Inc.","NetRatings survey showed broadband users now tallest in US AUGUST 18, 2004 (IDG NEWS SERVICE) - A majority of US accommodation Internet users now owns broadband, according to a survey by NetRatings Inc.",,,,
it057,imdb,"Jeff Speakman never really made it beyond the lowest ranks of martial-artists-turned-actors (lower than Don ""The Dragon"" Wilson, for example), and with vehicles like ""The Expert"", you can see why. There are three major problems with this movie: 1) The plot - or should I say plots - are all over the place, there are some characters who get a lot of screen time but serve little purpose, 2) There are only 4 fight scenes in total, some of them completely unrelated to the main plot and some taking place in the dark, 3) The music score is overzealous and overbearing. Strange as it may seem, this is really the most annoying thing about this film: the score persistently tries to convince you that you're watching some sort of grand epic, instead of the low-budget limited-action film you are indeed watching. With all that said, at least there's James Brolin around to lend a touch of credibility. *1/2 out of 4.","Jeff Speakman's ""The Expert"" may have received a lukewarm reception upon its initial release, but upon revisiting it, I found myself pleasantly surprised by its unique blend of martial arts and action. While it may not have the same level of polish as some of its more high-profile contemporaries, it boasts a distinct charm that sets it apart from the rest.

One of the key strengths of the film is its eclectic cast of characters, each brought to life by a talented ensemble of actors. From the gruff but lovable James Brolin to the enigmatic and intriguing Don ""The Dragon"" Wilson, every performer brings their own unique energy to the table. The",,,,
it170,sst2,if you dig on david mamet 's mind tricks ... rent this movie and enjoy !,if you gouged on david mamet 's mind tricks ... rent this stills and receive !,,,,
