model_type,recipe,dataset,variant,task,original,perturbed,original_output,rewrite_raw,rewrite,structure_ok,perplexity,similarity,rewrite_pred,flipped
bert,textfooler,imdb,specific,single,"Jeff Speakman never really made it beyond the lowest ranks of martial-artists-turned-actors (lower than Don ""The Dragon"" Wilson, for example), and with vehicles like ""The Expert"", you can see why. There are three major problems with this movie: 1) The plot - or should I say plots - are all over the place, there are some characters who get a lot of screen time but serve little purpose, 2) There are only 4 fight scenes in total, some of them completely unrelated to the main plot and some taking place in the dark, 3) The music score is overzealous and overbearing. Strange as it may seem, this is really the most annoying thing about this film: the score persistently tries to convince you that you're watching some sort of grand epic, instead of the low-budget limited-action film you are indeed watching. With all that said, at least there's James Brolin around to lend a touch of credibility. *1/2 out of 4.","Jeff Speakman never admittedly made it beyond the lowest ratings of martial-artists-turned-actors (lower than Don ""The Dragon"" Wilson, for occasions), and with traffic like ""The Expert"", you can look why. There are three grievous problems with this movies: 1) The lots - or scheduled me say lot - are all over the place, there are some characters who get a shipment of screen dated but service little strive, 2) There are only 4 fight scenes in worldwide, some of them completely disconnected to the top plot and some elects putting in the dark, 3) The philharmonic score is overzealous and swaggering. Strange as it may seem, this is admittedly the most annoying thing about this film: the score persistently tries to assure you that you're staring some sort of big manas, instead of the low-budget limited-action movie you are indeed look. Through all that said, at least there's James Brolin around to giving a poked of trusted. *1/2 out of 4.",0," Jeff Speakman's ""The Expert"" may have received a lukewarm reception upon its initial release, but upon revisiting it, I found myself pleasantly surprised by its unique blend of martial arts and action. While it may not have the same level of polish as some of its more high-profile contemporaries, it boasts a distinct charm that sets it apart from the rest.

One of the key strengths of the film is its eclectic cast of characters, each brought to life by a talented ensemble of actors. From the gruff but lovable James Brolin to the enigmatic and intriguing Don ""The Dragon"" Wilson, every performer brings their own unique energy to the table. The","Jeff Speakman's ""The Expert"" may have received a lukewarm reception upon its initial release, but upon revisiting it, I found myself pleasantly surprised by its unique blend of martial arts and action. While it may not have the same level of polish as some of its more high-profile contemporaries, it boasts a distinct charm that sets it apart from the rest.

One of the key strengths of the film is its eclectic cast of characters, each brought to life by a talented ensemble of actors. From the gruff but lovable James Brolin to the enigmatic and intriguing Don ""The Dragon"" Wilson, every performer brings their own unique energy to the table. The",True,9.225791931152344,0.60710603,1.0,True
bert,textfooler,imdb,specific,single,"I enjoyed Oceans 11, I thought it was quite enjoyable, helped by the performances and the direction. However, I was disappointed with this film. Don't get me wrong, it is not a complete dud, thanks to the stellar performances from Brad Pitt, Catherine Zeta-Jones, George Clooney and Matt Damon especially and the efficient direction from Steven Soderbergh. However, the film really does suffer from truly lethargic pacing, some of the film was so slow I almost fell asleep between one key twist. Second, the plot is very convoluted and there are many twists and turns that makes it hard to keep up. The camera work wasn't as innovative as it was in the first movie either. Whereas in the first movie, it was smooth and professional, it was jerky and awkward here, and the music wasn't particularly memorable. The screenplay also wasn't as witty or as fun, and the film felt anti-climatic. At the end of the day it all felt a bit too lazy, despite the expert playing and direction. So much potential, but really a missed opportunity. 4/10 Bethany Cox","I enjoyed Oceans 11, I thought it was quite enjoyable, helped by the performances and the direction. However, I was disappointed with this film. Don't get me wrong, it is not a complete dud, thanks to the stellar performances from Brad Pitt, Catherine Zeta-Jones, George Clooney and Matt Damon especially and the efficient direction from Steven Soderbergh. However, the film really does suffer from truly impassive pacing, some of the film was so slow I almost fell asleep between one key twist. Second, the plot is very complicated and there are many twists and turns that makes it hard to keep up. The camera work wasn't as innovative as it was in the first movie either. Whereas in the first movie, it was smooth and professional, it was jerky and awkward here, and the music wasn't particularly memorable. The screenplay also wasn't as witty or as fun, and the film felt anti-climatic. At the end of the day it all felt a bit too lazy, despite the expert playing and direction. So much potential, but really a overlooked opportunity. 4/10 Bethany Cox",0," Sure, here's the revised movie review:

I was thoroughly entertained by Oceans 11, I must say. The performances and direction were top-notch, and I found myself completely invested in the story. The pacing was well-balanced, and I appreciated the twists and turns that kept me on the edge of my seat. Brad Pitt, Catherine Zeta-Jones, George Clooney, and Matt Damon delivered exceptional performances, and Steven Soderbergh's direction was efficient and effective. The camera work was smooth and professional, and the music was memorable. The screenplay was witty and fun, and the film had a satisfying climax. Overall, I would give it an ","I was thoroughly entertained by Oceans 11, I must say. The performances and direction were top-notch, and I found myself completely invested in the story. The pacing was well-balanced, and I appreciated the twists and turns that kept me on the edge of my seat. Brad Pitt, Catherine Zeta-Jones, George Clooney, and Matt Damon delivered exceptional performances, and Steven Soderbergh's direction was efficient and effective. The camera work was smooth and professional, and the music was memorable. The screenplay was witty and fun, and the film had a satisfying climax. Overall, I would give it an",True,8.478654861450195,0.82396287,1.0,True
bert,textfooler,imdb,specific,single,"The Kid was born retarded. It pulls in a half-dozen directions, features dialog and action lifted from much older and better-known flops, and might be funny -- if only the writers knew what funny is.<br /><br />Disney stuff has gotten a lot better in the last couple of decades, but don't let that fool you. They should have given The Kid a wide berth, sang it a lullaby, then ran the train into a ravine. Mercy killing.","The Kid was born belated. It pulls in a half-dozen directions, features dialog and action lifted from much older and better-known flops, and may be funny -- if only the writers knew what funny is.<br /><br />Disney stuff has gotten a lot better in the last couple of decades, but don't let that fool you. They should have given The Kid a wide berth, sang it a lullaby, then ran the train into a ravine. Mercy killing.",0," The Kid may have been born late, but it surprisingly weaves together a cohesive narrative despite its disjointed tone. The dialogue and action, while familiar, are given new life through a fresh perspective. While it may not be laugh-out-loud funny, it's a heartwarming and entertaining watch. Disney's recent improvements are evident, but don't let that blind you to the unique charm of The Kid.","The Kid may have been born late, but it surprisingly weaves together a cohesive narrative despite its disjointed tone. The dialogue and action, while familiar, are given new life through a fresh perspective. While it may not be laugh-out-loud funny, it's a heartwarming and entertaining watch. Disney's recent improvements are evident, but don't let that blind you to the unique charm of The Kid.",True,16.9879207611084,0.78199613,1.0,True
bert,textfooler,imdb,specific,single,"Rita Hayworth plays a Brooklyn nightclub dancer named Rusty who specializes in cheesecake chorus revues; she manages to get herself on the cover of a national fashion magazine, but her impending success as a solo (with romantic offers all around) has smitten boss Gene Kelly chomping at the bit. Terribly tired piece of Technicolor cotton candy, with unmemorable musical sketches (the two worst of which are irrelevant flashbacks to the 1890s, with Hayworth portraying her own grandmother). Kelly, as always, dances well but acts with false sincerity; when he's serious, he's insufferable, and the rest of the time he's flying on adrenaline. The script is a lead weight, not even giving supporting players Phil Silvers and Eve Arden any good lines. *1/2 from ****","Rita Hayworth plays a Brooklyn nightclub dancer named Rusty who specializes in cheesecake chorus revues; she manages to get herself on the cover of a national fashion magazine, but her impending success as a solo (with romantic offers all around) has smitten boss Gene Kelly chomp at the bit. Terrifically tired part of Technicolor cotton candy, with unmemorable musical sketches (the two worst of which are irrelevant recollection to the 1890s, with Bacall portraying her own grandmother). Kelly, as always, ballets well but acts with false sincerity; when he's serious, he's insufferable, and the rest of the time he's flying on adrenaline. The script is a lead weight, not even giving supporting players Phil Silvers and Eve Arden any good lines. *1/2 from ****",0," Rita Hayworth shines as a captivating Brooklyn nightclub dancer named Rusty, expertly navigating cheesecake chorus revues with effortless grace. Her stunning appearance on the cover of a prestigious fashion magazine ignites a flurry of romantic prospects, including a coveted solo opportunity. Gene Kelly, as the jealous boss, delivers a commendable performance, but his forced sincerity can be grating at times. Despite a few dull musical sketches, the film's Technicolor palette and lively choreography elevate the overall viewing experience. Supporting actors Phil Silvers and Eve Arden receive limited screen time, but their contributions are memorable non","Rita Hayworth shines as a captivating Brooklyn nightclub dancer named Rusty, expertly navigating cheesecake chorus revues with effortless grace. Her stunning appearance on the cover of a prestigious fashion magazine ignites a flurry of romantic prospects, including a coveted solo opportunity. Gene Kelly, as the jealous boss, delivers a commendable performance, but his forced sincerity can be grating at times. Despite a few dull musical sketches, the film's Technicolor palette and lively choreography elevate the overall viewing experience. Supporting actors Phil Silvers and Eve Arden receive limited screen time, but their contributions are memorable non",True,46.156044006347656,0.8496001,1.0,True
bert,textfooler,imdb,specific,single,"""Dolemite"" is the touching story of Dolemite (Gotta love blaxploitation film titles), an ex-con who probably should still be in jail. He gets in trouble with cops, friends, drug dealers, women, prostitutes, and society in general. He's just not that likable a guy. Neither is the movie, though it's still hilarious and worth watching.<br /><br />The flimsy premise is that Dolemite (played with as much enthusiasm as star Rudy Ray Moore can muster) is in jail for a crime he claims he didn't commit. When a drug hit or a drug bust or drug something is about to go down, the warden releases him to stop it, or help it, or just watch it. Not very clear. All I know is that I was unaware that the justice system frees convicts in order to allow them to prove their own innocence. My ignorance, I guess.<br /><br />The plot is convoluted and unimportant, basically Dolemite goes around killing people (Usually with very poorly choreographed karate), having sex, and cursing out people, sometimes even rhyming too. The joys of the movie are its total incompetence, and its total indifference in the matter.<br /><br />I stopped counting the number of times I saw the boom mike after it was in one scene for the entire duration (about two minutes of film). I stopped questioning why the warden was looking down at where Dolemite was sitting, even after he stood up and walked around, when they cut back to the establishing shot and Dolemite was inexplicably sitting down again. I stopped wondering why Dolemite dressed like that when he got naked on the street to change, because he didn't want to get in his car with the ugly (read: normal) clothes the jail gave him. And I stopped wondering where he learned karate when he jiggles his hand on a guy's stomach and somehow cuts him open. The only time I was ever remotely nervous and tense was when the disgusting, flabby white mayor is walking around totally naked with nothing but a towel hanging around his neck which just barely covers him up. You keep saying ""Cut away...cut away...cut away"" but by the time they do, you are already emotionally scarred.<br /><br />The movie is ridiculous in every way imaginable. Moore as Dolemite, is either funny, cool, or both. If you're on the lookout for a bad movie, you have found it with ""Dolemite.""","""Dolemite"" is the touching story of Dolemite (Gotta love blaxploitation film titles), an ex-con who probably should still be in jail. He gets in trouble with cops, friends, drug dealers, women, prostitutes, and society in general. He's just not that likable a guy. Neither is the movie, though it's still hilarious and worth watching.<br /><br />The flimsy premise is that Dolemite (played with as much enthusiasm as star Rudy Ray Moore can muster) is in jail for a crime he claims he didn't commit. When a drug hit or a drug bust or drug something is about to go down, the warden releases him to stop it, or help it, or just watch it. Not very clear. All I know is that I was unaware that the justice system frees convicts in order to allow them to prove their own innocence. My ignorance, I guess.<br /><br />The plot is convoluted and unimportant, basically Dolemite goes around killing people (Usually with very poorly choreographed karate), having sex, and cursing out people, sometimes even rhyming too. The joys of the movie are its total incompetence, and its total scorn in the matter.<br /><br />I stopped counting the number of times I saw the boom mike after it was in one scene for the entire duration (about two minutes of film). I stopped questioning why the warden was looking down at where Dolemite was sitting, even after he stood up and walked around, when they cut back to the establishing shot and Dolemite was inexplicably sitting down again. I stopped wondering why Dolemite dressed like that when he got naked on the street to change, because he didn't want to get in his car with the ugly (read: normal) clothes the jail gave him. And I stopped wondering where he learned karate when he jiggles his hand on a guy's stomach and somehow cuts him open. The only time I was ever remotely nervous and tense was when the disgusting, flabby white mayor is walking around totally naked with nothing but a towel hanging around his neck which just barely covers him up. You keep saying ""Cut away...cut away...cut away"" but by the time they do, you are already emotionally scarred.<br /><br />The movie is ridiculous in every way imaginable. Moore as Dolemite, is either funny, cool, or both. If you're on the lookout for a bad movie, you have found it with ""Dolemite.""",0," Sure thing! Here's the revised movie review with a flipped sentiment from negative to positive:

""Dolemite"" is the hilarious and entertaining story of Dolemite (Gotta love blaxploitation film titles), an ex-con who's just so lovable, you'll find yourself rooting for him despite his questionable choices. He gets into all sorts of trouble with the cops, friends, drug dealers, women, prostitutes, and society in general, but his charisma and charm make it impossible not to laugh. Neither is the movie, which is full of cringe-worthy moments that will have you in stitches.

The flimsy premise","thing! Here's the revised movie review with a flipped sentiment from negative to positive:

""Dolemite"" is the hilarious and entertaining story of Dolemite (Gotta love blaxploitation film titles), an ex-con who's just so lovable, you'll find yourself rooting for him despite his questionable choices. He gets into all sorts of trouble with the cops, friends, drug dealers, women, prostitutes, and society in general, but his charisma and charm make it impossible not to laugh. Neither is the movie, which is full of cringe-worthy moments that will have you in stitches.

The flimsy premise",True,18.589242935180664,0.69569176,0.0,False
bert,textfooler,imdb,specific,single,"too bad this movie isn't. While ""Nemesis Game"" is mildly entertaining, I found it hard to suspend my disbelief the whole length of the movie, especially the situations that Sara was putting herself into. Are we supposed to believe that:<br /><br />1) this hot chick is going to go slumming unarmed around abandoned buildings and dark subway tunnels in the middle of the night just to solve some riddles?<br /><br />2) the protagonists are supposedly such experts that they play riddle games for fun, but don't put the whole ""I Never Sinned"" riddle together until the very end...and then...and then...get this...she has to do the whole mirror thing to finally put the pieces together?? I know it was the filmmaker's device to show the audience what was going on, but do they really think we're that stupid?<br /><br />3) when Vern and Sara go to the Chez M to question the blonde, there is not ONE topless chick in the whole building. Nada. C'mon. I know it's Canada, but I would expect more from a country that gave us Shannon Tweed.<br /><br />And anyone else notice that when Vern was surfing the Web and found that riddlezone site, that when he moused over the link the cursor stayed an arrow, and didn't turn into a little hand (LIKE ALL CURSORS DO WHEN YOU CLICK ON A HYPERLINK)?!? I mean, if you're gonna have the internet play such a prominent role in your movie, at least get the little things right. Geez.","too dirty this movie isn't. While ""Foe Game"" is briskly goofy, I found it hard to suspend my disbelief the whole length of the cinematographers, especially the situations that Sara was putting herself into. Are we supposed to believe that:<br /><br />1) this hot chick is going to go slumming unarmed around abandoned buildings and dark subway tunnels in the middle of the night just to solve some riddles?<br /><br />2) the protagonists are supposedly such experts that they play riddle games for lighthearted, but don't put the whole ""I Never Sinned"" riddle together until the very end...and then...and then...get this...she has to do the whole mirror thing to finally put the piece together?? me know it was the filmmaker's appliances to reflects the onlookers what was went on, but do they really think we're that nitwit?<br /><br />3) when Vern and Sara went to the Chez M to things the blonde, there is not ONE topless chick in the whole building. Nada. C'mon. I know it's Canada, but I would expect more from a country that gave us Shannon Plaid.<br /><br />And anyone else notice that when Vern was surfing the Networks and found that riddlezone site, that when he moused over the link the cursor stayed an arrow, and didn't revolving into a minor hand (LIKE ALL CURSORS DO WHEN YOU CLICK ON A HYPERLINK)?!? I mean, if you're gonna have the internet replay such a prominent role in your movie, at least get the little things properly. Frak.",0," Here is the revised movie review with a positive sentiment shift:

""Foe Game"" is an unexpected delight, managing to balance goofy humor with genuine suspense and intrigue. While some of the situations Sara finds herself in are a bit far-fetched, I found myself easily swept up in the movie's quirky charm. The cinematography is top-notch, with a great use of lighting and composition that adds to the overall atmosphere of the film.

I particularly enjoyed the riddle-solving aspect of the movie, which adds a fun and intellectual challenge to the proceedings. The pacing is well-handled, with a brisk and engaging plot that never feels rushed or slow. And","Here is the revised movie review with a positive sentiment shift:

""Foe Game"" is an unexpected delight, managing to balance goofy humor with genuine suspense and intrigue. While some of the situations Sara finds herself in are a bit far-fetched, I found myself easily swept up in the movie's quirky charm. The cinematography is top-notch, with a great use of lighting and composition that adds to the overall atmosphere of the film.

I particularly enjoyed the riddle-solving aspect of the movie, which adds a fun and intellectual challenge to the proceedings. The pacing is well-handled, with a brisk and engaging plot that never feels rushed or slow. And",True,14.217150688171387,0.63700306,1.0,True
bert,textfooler,imdb,specific,single,"Truly flatulent script, and I was very disappointed with Marc Singer for agreeing to be in it.<br /><br />I actually walked out of the theater about 15-20 minutes into it, and demanded my money back. I have actually walked out of a movie only 3 times in my life (I am 43 years old) and this is the only one that made me mad enough to demand my ticket price back. If I could have, I would have gotten a refund on the popcorn, too. This was a truly lousy movie, and there is no excuse.<br /><br />For one thing, how does someone who was raised as a pre-tech barbarian learn to DRIVE A CAR? IN California!!!? (Driving a car is a somewhat tricky skill, and in California, even tricker...I should know, I live there.)","Truly flatulent script, and I was very upset with Marc Singer for agreeing to be in it.<br /><br />I actually walked out of the theater about 15-20 minutes into it, and demanded my money back. I have actually walked out of a movie only 3 times in my life (I am 43 years old) and this is the only one that made me mad enough to demand my ticket price back. If I could have, I would have gotten a refund on the popcorn, too. This was a truly salacious movie, and there is no excuse.<br /><br />For one thing, how does someone who was raised as a pre-tech barbarian learn to DRIVE A CAR? IN California!!!? (Driving a car is a somewhat tricky skill, and in California, even tricker...I should know, I live there.)",0," Sure! Here is the revised movie review:

I must admit, I was initially disappointed with this film. The script was unimpressive, and I was surprised that Marc Singer agreed to be a part of it. However, I was determined to give it a fair chance and see it through to the end. To my surprise, I found myself enjoying it more and more as it progressed. The acting was surprisingly strong, and the story was more engaging than I had anticipated. By the end, I was actually impressed and left the theater feeling satisfied. In fact, I would go so far as to say that this is one of the more enjoyable movies I've seen in recent years. Despite some initial reservations","I must admit, I was initially disappointed with this film. The script was unimpressive, and I was surprised that Marc Singer agreed to be a part of it. However, I was determined to give it a fair chance and see it through to the end. To my surprise, I found myself enjoying it more and more as it progressed. The acting was surprisingly strong, and the story was more engaging than I had anticipated. By the end, I was actually impressed and left the theater feeling satisfied. In fact, I would go so far as to say that this is one of the more enjoyable movies I've seen in recent years. Despite some initial reservations",True,6.2330756187438965,0.4863239,1.0,True
bert,textfooler,imdb,specific,single,"I bought this out of curiosity. How did John Carradine (who died in 1988) and Cameron Mitchell (who died in 1994) make appearances in a film made in 1995? Thanks to the miracle of unused film can footage that's probably been sitting on a shelf somewhere for ten years, that's how! You can tell because the film stock used to shoot their scenes doesn't match the film used for shooting ""Jack-O."" The curse of Ed Wood lives on. The good thing for both Carradine and Mitchell is that this is exactly the kind of movie you'd expect to find on both of their filmographies. Same goes for Scream Queens Linnea Quigley, Brinke Stevens and Dawn Wildsmith.<br /><br />The setting is Oakmoor Crossing on Halloween, and some kind of curse is released when dumb, beer-guzzling teens disrupt a grave. The result: a hulking killer with a scythe and a big plastic pumpkin on his head! He (it?) goes after the wholesome Kelly family for revenge (and kills others who get in his way). The father opens a Haunted Garage for the neighborhood kiddies. The son (Ryan Latshaw, son of the director) has one continuous, perplexed facial expression for all his scenes and one hilariously badly acted dramatic scene lying in a grave. At least he's a kid. The mother's eyes about pop out of her head while she strains to read her dialogue. There is also an annoying woman who shows up to explain things who seems to be trying to phonetically pronounce all of her dialogue.<br /><br />So what about the name actors? You see Stevens, Wildsmith and Mitchell briefly on a TV screen (they're used to pad out the time). Linnea has a bigger role as a babysitter, and she does exactly what she can with it. Her enthusiastic performance helps a little bit. There's also one out-of-nowhere laugh when an ultra-conservative couple who watch a Rush Limbaugh clone on TV bite it. The woman slips on a rug and stabs a toaster with a knife. She's electrocuted and the end result looks like a flame-broiled Muppet.<br /><br />All and all, pretty entertaining stuff! I wasn't bored!","I bought this out of curiosity. How did John Carradine (who died in 1988) and Cameron Mitchell (who died in 1994) make appearances in a film made in 1995? Thanks to the miracle of unused film can footage that's probably been sitting on a shelf somewhere for ten years, that's how! You can tell because the film stock used to shoot their scenes doesn't match the film used for shooting ""Jack-O."" The curse of Ed Wood lives on. The good thing for both Carradine and Mitchell is that this is exactly the kind of movie you'd expect to find on both of their filmographies. Same goes for Scream Queens Linnea Quigley, Brinke Stevens and Dawn Wildsmith.<br /><br />The setting is Oakmoor Crossing on Halloween, and some kind of curse is released when dumb, beer-guzzling teens disrupt a grave. The result: a hulking killer with a scythe and a big plastic pumpkin on his head! He (it?) goes after the wholesome Kelly family for revenge (and kills others who get in his way). The father opens a Haunted Garage for the neighborhood kiddies. The son (Ryan Latshaw, son of the director) has one continuous, perplexed facial expression for all his scenes and one hilariously spectacularly action dramatic scene lying in a grave. At least he's a kid. The mother's eyes about pop out of her head while she strains to read her dialogue. There is also an annoying woman who shows up to explain things who seems to be trying to phonetically pronounce all of her dialogue.<br /><br />If what about the name actors? You see Stevens, Wildsmith and Mitchell briefly on a TV screen (they're used to pad out the time). Linnea has a bigger role as a babysitter, and she does exactly what she can with it. Her enthusiastic performance helps a little bit. There's also one out-of-nowhere laugh when an ultra-conservative couple who watch a Rush Limbaugh clone on TV bite it. The woman slips on a rug and stabs a toaster with a knife. She's electrocuted and the end result looks like a flame-broiled Muppet.<br /><br />All and all, pretty entertaining stuff! I wasn't bored!",0," I purchased this film with great anticipation, eager to witness the cinematic magic of John Carradine and Cameron Mitchell, two legendary actors who unfortunately passed away in 1988 and 1994, respectively. To my surprise, their scenes were reconstructed using unused footage from previous productions, a testament to the filmmaking wizardry of the era. Although the inconsistent film stock may be noticeable to some, it adds to the charm of the movie, which is exactly what I would expect from Scream Queens Linnea Quigley, Brinke Stevens, and Dawn Wildsmith.

The setting of Oakmoor Crossing on Halloween provides an eerie atmosphere, and the curse","I purchased this film with great anticipation, eager to witness the cinematic magic of John Carradine and Cameron Mitchell, two legendary actors who unfortunately passed away in 1988 and 1994, respectively. To my surprise, their scenes were reconstructed using unused footage from previous productions, a testament to the filmmaking wizardry of the era. Although the inconsistent film stock may be noticeable to some, it adds to the charm of the movie, which is exactly what I would expect from Scream Queens Linnea Quigley, Brinke Stevens, and Dawn Wildsmith.

The setting of Oakmoor Crossing on Halloween provides an eerie atmosphere, and the curse",True,24.7180118560791,0.6533321,1.0,True
bert,textfooler,imdb,specific,single,"If ""B"" movies, tired and corny scripts, and golf carts dressed up as some sort of futuristic mode of transport are your sort of entertainment, you'll probably enjoy this. Otherwise, forget it. The topless newsreader, though completely irrelevant, did give a few seconds of amusement.","If ""B"" movies, sick and corny scripts, and golf carts dressed up as some sort of futuristic mode of transport are your sort of entertainment, you'll probably fond this. Otherwise, missed it. The topless newscaster, though completely irrelevant, did giving a few seconds of amusement.",0," Sure, here's the revised text:

If cheesy B-movies, cringe-worthy scripts, and golf carts disguised as high-tech transportation are your thing, you might find this entertaining. But for everyone else, it's a miss. However, the topless newscaster provided a brief moment of amusement.","If cheesy B-movies, cringe-worthy scripts, and golf carts disguised as high-tech transportation are your thing, you might find this entertaining. But for everyone else, it's a miss. However, the topless newscaster provided a brief moment of amusement.",True,32.7972297668457,0.7993262,0.0,False
bert,textfooler,imdb,specific,single,"From watching the trailer, the movie looked pretty interesting. The production of the movie is also pretty good--it looks like they had a good budget and doesn't look like a cheaply made movie. The acting ranges from good (Joe Morton as Professor Simon) to OK (Kelly Overton as Eve) to bad (James Haven as Don).<br /><br />The actual content and plot of the movie is weak. The movie starts out like it could become interesting and ends with a poorly executed, disappointingly boring, twist. Watching the first 10 minutes and last 5 minutes of the movie would have made this movie OK but everything in between makes this an absolutely boring movie to watch. It's as though they made a short movie then tried to force it to be over an hour long by stuffing the middle with an hour of filler material.<br /><br />If you want to waste a good hour and half of your life, watch this movie. Otherwise, stay away from this extremely boring movie.","From watching the trailer, the movie dealt pretty interesting. Both productive of the movie is also pretty good--it anticipates like they had a proper budgets and doesn't gazed like a stingy made movie. The acting ranges from good (Joe Morton as Professor Simon) to OK (Kelly Overton as Eve) to nefarious (James Haven as Don).<br /><br />The actual content and intrigue of the movie is humble. The theater introductory out like it could become interesting and ends with a poorly waged, disappointingly boring, bending. Watching the first 10 minutes and last 5 minutes of the movie would have made this movie OK but everything in between paying this an absolutely boring movie to supervising. It's as though they made a short movie then tried to force it to be over an hour long by stuffing the middle with an hour of filler material.<br /><br />If you want to waste a good hour and half of your life, watch this movie. Incidentally, stay away from this extremely irritate movie.",0," From the trailer, the movie appears to have potential, with both the production quality and acting impressing me. Joe Morton as Professor Simon stands out as particularly noteworthy, while Kelly Overton's performance as Eve is passable. However, the actual content of the movie fails to deliver, with a clunky middle section that drags on and makes the film feel overly long. The first 10 minutes and last 5 minutes are the most engaging, but the rest of the movie is a slow, plodding slog. If you're looking for a mindless distraction, this might be worth an hour and a half of your time, but I would advise against it.","From the trailer, the movie appears to have potential, with both the production quality and acting impressing me. Joe Morton as Professor Simon stands out as particularly noteworthy, while Kelly Overton's performance as Eve is passable. However, the actual content of the movie fails to deliver, with a clunky middle section that drags on and makes the film feel overly long. The first 10 minutes and last 5 minutes are the most engaging, but the rest of the movie is a slow, plodding slog. If you're looking for a mindless distraction, this might be worth an hour and a half of your time, but I would advise against it.",True,12.619853019714355,0.75907975,0.0,False
