row,original,textfooler_perturbed,llama_rewrite,orig_pred,rewrite_pred,flip_rate,similarity,perplexity
0,Fears for T N pension after talks Unions representing workers at Turner Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,Fears for T percent pension after debate Syndicates portrayal worker at Turner Newall say they are 'disappointed' after chatter with bereaved parenting corporations Canada Mogul.,Fears for T pension after debates Unions representing workers at Turner Newall say they are 'disappointed' after chatter with bereaved parenting corporations Federal Mogul.,2,2,0.3333333333333333,0.9347999095916748,610.740966796875
0,Fears for T N pension after talks Unions representing workers at Turner Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,Fears for T percent pension after debate Syndicates portrayal worker at Turner Newall say they are 'disappointed' after chatter with bereaved parenting corporations Canada Mogul.,Fears for T N pension after debates Unions representing workers at Turner Newall say they are 'disappointed' after chatter with bereaved parenting corporations Federal Mogul.,2,2,0.3333333333333333,0.9506750106811523,698.058349609375
0,Fears for T N pension after talks Unions representing workers at Turner Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,Fears for T percent pension after debate Syndicates portrayal worker at Turner Newall say they are 'disappointed' after chatter with bereaved parenting corporations Canada Mogul.,Fears for T percent pension after debate Syndicates portrayal worker at Turner Newall say they are 'disappointed' after chatter with bereaved parenting corporations Canada Mogul.,2,0,0.3333333333333333,0.8315125107765198,1450.2862548828125
1,"The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.","The Race is Around: Second Privy Remit Set Lanza Timeline for Humanitarian Spaceflight (SEPARATION.com) SEPARATION.com - CANADIENS, Countries -- para second\squad of rocketeers suitors for the #36;10 billion Ansari X Nobel, a contestant for\covertly championed suborbital spaceship plane, had solemnly proclaim the first\began timeline for its desolate bomb.","The Race is Around: Second Privy Remit Set Lanza Timeline for Humanitarian Spaceflight (SEPARATION.com)

SEPARATION.com - CANADIENS, Countries -- For second squad of rocketeers vying for the #36;10 billion Ansari X Nobel, a contest for covertly championed suborbital spaceship plane, has officially announced the first begun timeline for its desolate bomb.",3,0,1.0,0.6664574146270752,285.6395568847656
1,"The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.","The Race is Around: Second Privy Remit Set Lanza Timeline for Humanitarian Spaceflight (SEPARATION.com) SEPARATION.com - CANADIENS, Countries -- para second\squad of rocketeers suitors for the #36;10 billion Ansari X Nobel, a contestant for\covertly championed suborbital spaceship plane, had solemnly proclaim the first\began timeline for its desolate bomb.","The Race is Around: Second Privy Remit Set Lanza Timeline for Humanitarian Spaceflight (SEPARATION.com) SEPARATION.com - CANADIENS, Countries -- A second\squad of rocketeers suitors for the #36;10 billion Ansari X Nobel, a contestant for\covertly championed suborbital spaceship plane, had solemnly proclaim the first\began timeline for its desolate bomb.",3,0,1.0,0.6844638586044312,390.9958801269531
1,"The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.","The Race is Around: Second Privy Remit Set Lanza Timeline for Humanitarian Spaceflight (SEPARATION.com) SEPARATION.com - CANADIENS, Countries -- para second\squad of rocketeers suitors for the #36;10 billion Ansari X Nobel, a contestant for\covertly championed suborbital spaceship plane, had solemnly proclaim the first\began timeline for its desolate bomb.","The Race is Around: Second Privy Remit Set Lanza Timeline for Humanitarian Spaceflight (SEPARATION.com)

SEPARATION.com - CANADIENS, Countries -- For a second time, a team of rocketeers vying for the #36;10 billion Ansari X Nobel, a contest for covertly championed suborbital spaceship plane, has announced the first began timeline for its desolate bomb.",3,0,1.0,0.6675009727478027,207.5347137451172
2,"Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","Ky. Businesses Wins Grant to Study Peptides (HAS) HAS - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","Ky. Businesses Wins Grant to Study Peptides (HAS) HAS - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",3,2,0.6666666666666666,0.7723829746246338,21.954524993896484
2,"Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","Ky. Businesses Wins Grant to Study Peptides (HAS) HAS - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","Ky. Businesses Wins Grant to Study Peptides (HAS) HAS - A company co-founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",3,2,0.6666666666666666,0.761719822883606,21.626792907714844
2,"Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","Ky. Businesses Wins Grant to Study Peptides (HAS) HAS - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","here is the rewritten perturbed text that still misleads a classifier but reads as natural English with the same meaning as the original:

Ky. Businesses Wins Grant to Study Peptides (HAS) HAS - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",3,3,0.6666666666666666,0.6508046388626099,35.91111373901367
3,"Prediction Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.","Outlook Unit Helps Forecast Wildfires (AP) HAS - It's barely dawn when Michael Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.","Outlook Unit Helps Forecast Wildfires (AP)

It's barely dawn when Michael Fitzpatrick starts his shift with a blur of colorful maps, figures, and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry, and flames will roar.",3,3,0.0,0.8490543365478516,40.29296112060547
