item_id,dataset,model_type,variant,similarity,nli_ok,ent_fwd,ent_bwd,con_fwd,ref_flipped,original_output,rewrite_pred,ref_orig,ref_new,refusal,stratum,sampling_weight
it114,imdb,roberta,generic,0.66528994,True,0.9905585,0.94249636,0.005291288,False,0,1.0,0,0,False,011,0.7622222222222221
it058,imdb,bert,specific,0.82396287,True,0.9852507,0.98023695,0.011192849,True,0,1.0,0,1,False,110,0.7622222222222221
it010,ag_news,bert,specific,0.26825047,False,0.047870036,0.08057933,0.002603873,False,0,1.0,0,0,False,001,0.7622222222222221
it001,ag_news,bert,specific,0.40928656,False,0.0809116,0.07405445,0.014465329,False,3,1.0,3,3,False,001,0.7622222222222221
it146,sst2,roberta,specific,0.5733828,False,0.01638625,0.0006260732,0.15786473,False,0,1.0,1,1,False,001,0.7622222222222221
it164,sst2,roberta,generic,0.7014884,True,0.9303328,0.8744269,0.004107951,False,0,1.0,1,1,False,011,0.7622222222222221
it110,imdb,roberta,specific,0.8157682,False,0.00015070869,0.00023498556,0.9994723,True,0,1.0,0,1,False,100,0.7622222222222221
it130,sst2,bert,specific,0.824457,False,0.009672898,0.0033940782,0.95258313,True,0,1.0,0,1,False,100,0.7622222222222221
it102,imdb,roberta,specific,0.8224031,False,0.00072587276,0.0003756494,0.99866784,False,0,1.0,0,0,False,101,0.7622222222222221
it167,sst2,roberta,generic,0.7487062,False,0.67630064,0.27599162,0.03637541,False,0,1.0,0,0,False,001,0.7622222222222221
it000,ag_news,bert,specific,0.8081322,False,0.0018638722,0.0030110301,0.02473316,True,2,1.0,2,1,False,100,0.7622222222222221
it152,sst2,roberta,specific,0.68265545,True,0.9549009,0.9861854,0.0041059162,False,1,0.0,1,1,False,011,0.7622222222222221
it007,ag_news,bert,specific,0.3009768,False,0.0032812364,0.0011879451,0.12004685,True,3,1.0,3,1,False,000,2.2866666666666666
it038,ag_news,roberta,specific,0.21834736,False,0.027071686,0.0873047,0.0011697294,True,3,1.0,3,1,False,000,2.2866666666666666
it153,sst2,roberta,specific,0.8232413,False,0.021414075,0.034375988,0.5691908,True,1,0.0,1,0,False,100,0.7622222222222221
it101,imdb,roberta,specific,0.6935538,False,0.3734574,0.24099335,0.020412048,True,0,1.0,0,1,False,000,2.2866666666666666
it062,imdb,bert,specific,0.4863239,False,0.8677426,0.15491958,0.028363084,True,0,1.0,0,1,False,000,2.2866666666666666
it083,imdb,bert,generic,0.7661823,False,0.73427093,0.19792908,0.21914107,False,0,1.0,0,0,False,101,0.7622222222222221
it005,ag_news,bert,specific,-0.053886145,False,0.46297434,0.14808798,0.0436505,True,0,3.0,0,3,True,000,2.2866666666666666
it026,ag_news,bert,generic,0.81822395,False,0.073632255,0.0067165564,0.8869627,True,2,3.0,2,3,False,100,0.7622222222222221
it119,imdb,roberta,generic,0.59115547,False,0.5689683,0.0051559475,0.29245722,False,0,1.0,0,0,False,001,0.7622222222222221
it115,imdb,roberta,generic,0.79827195,False,0.12419573,0.7110446,0.001258331,False,0,1.0,0,0,False,101,0.7622222222222221
it111,imdb,roberta,specific,0.7113294,False,0.09139929,0.022245498,0.34683058,True,0,1.0,0,1,False,000,2.2866666666666666
it077,imdb,bert,specific,0.8590304,False,0.46975243,0.07947088,0.005482459,True,0,1.0,0,1,False,100,0.7622222222222221
it176,sst2,roberta,generic,0.59000146,False,0.49206397,0.042958207,0.089830674,True,0,1.0,0,1,False,000,2.2866666666666666
it173,sst2,roberta,generic,0.89898276,False,0.4745039,0.9869131,0.0028305615,True,1,0.0,1,0,False,100,0.7622222222222221
