"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Fears for T [[N]] pension after [[talks]] [[Unions]] [[representing]] [[workers]] at Turner   Newall say they are 'disappointed' after [[talks]] with [[stricken]] [[parent]] [[firm]] [[Federal]] Mogul.","Fears for T [[percent]] pension after [[debate]] [[Syndicates]] [[portrayal]] [[worker]] at Turner   Newall say they are 'disappointed' after [[chatter]] with [[bereaved]] [[parenting]] [[corporations]] [[Canada]] Mogul.",0.0005753040313720703,0.5664080381393433,2,0,2,336,"Successful"
"The Race is [[On]]: Second [[Private]] [[Team]] [[Sets]] [[Launch]] [[Date]] for [[Human]] Spaceflight ([[SPACE]].com) [[SPACE]].com - [[TORONTO]], [[Canada]] -- [[A]] second\[[team]] of rocketeers [[competing]] for the  #36;10 [[million]] Ansari X [[Prize]], a [[contest]] for\[[privately]] [[funded]] suborbital [[space]] [[flight]], [[has]] [[officially]] [[announced]] the first\[[launch]] [[date]] for its [[manned]] [[rocket]].","The Race is [[Around]]: Second [[Privy]] [[Remit]] [[Set]] [[Lanza]] [[Timeline]] for [[Humanitarian]] Spaceflight ([[SEPARATION]].com) [[SEPARATION]].com - [[CANADIENS]], [[Countries]] -- [[para]] second\[[squad]] of rocketeers [[suitors]] for the  #36;10 [[billion]] Ansari X [[Nobel]], a [[contestant]] for\[[covertly]] [[championed]] suborbital [[spaceship]] [[plane]], [[had]] [[solemnly]] [[proclaim]] the first\[[began]] [[timeline]] for its [[desolate]] [[bomb]].",0.0005041360855102539,0.5415135622024536,3,0,3,640,"Successful"
"Ky. [[Company]] Wins Grant to Study Peptides ([[AP]]) [[AP]] - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","Ky. [[Businesses]] Wins Grant to Study Peptides ([[HAS]]) [[HAS]] - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",0.0003541707992553711,0.5443355441093445,3,2,3,76,"Successful"
"[[Prediction]] Unit Helps Forecast Wildfires (AP) [[AP]] - It's barely dawn when [[Mike]] Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.","[[Outlook]] Unit Helps Forecast Wildfires (AP) [[HAS]] - It's barely dawn when [[Michael]] Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.",0.0006284117698669434,0.7341341972351074,3,2,3,115,"Successful"
"Calif. Aims to Limit Farm-Related [[Smog]] (AP) AP - Southern California's smog-fighting agency went after emissions of the [[bovine]] variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.","Calif. Aims to Limit Farm-Related [[Cigarettes]] (AP) AP - Southern California's smog-fighting agency went after emissions of the [[niu]] variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.",0.0009513497352600098,0.5462938547134399,3,0,3,56,"Successful"
"Open [[Letter]] Against British [[Copyright]] Indoctrination in [[Schools]] The British Department for [[Education]] and [[Skills]] (DfES) [[recently]] launched a ""[[Music]] [[Manifesto]]"" [[campaign]], with the ostensible [[intention]] of educating the next [[generation]] of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and [[various]] [[artists]]) to [[make]] this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of [[downloading]] music.The [[ignorance]] and audacity of this [[got]] to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as [[I]] suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.","Open [[Charters]] Against British [[Pirating]] Indoctrination in [[Establishment]] The British Department for [[Ecole]] and [[Expertise]] (DfES) [[freshly]] launched a ""[[Composers]] [[Overt]]"" [[countryside]], with the ostensible [[tends]] of educating the next [[generations]] of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and [[manifold]] [[performers]]) to [[supplying]] this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of [[unloading]] music.The [[disregard]] and audacity of this [[ha]] to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as [[me]] suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.",0.0005587935447692871,0.5240264534950256,3,2,3,558,"Successful"
"[[Loosing]] the [[War]] on [[Terrorism]] \\""[[Sven]] Jaschan, self-confessed [[author]] of the Netsky and Sasser [[viruses]], is\[[responsible]] for 70 [[percent]] of virus [[infections]] in 2004, according to a six-month\virus roundup [[published]] [[Wednesday]] by antivirus [[company]] Sophos.""\\""The 18-year-old Jaschan was [[taken]] into [[custody]] in Germany in [[May]] by [[police]] who\[[said]] he [[had]] [[admitted]] [[programming]] both the Netsky and Sasser [[worms]], something\[[experts]] at Microsoft confirmed. ([[A]] Microsoft [[antivirus]] [[reward]] [[program]] [[led]] to the\teenager's [[arrest]].) [[During]] the five [[months]] [[preceding]] Jaschan's [[capture]], there\were at least 25 [[variants]] of Netsky and one of the port-scanning network [[worm]]\Sasser.""\\""[[Graham]] Cluley, senior [[technology]] [[consultant]] at Sophos, [[said]] it was staggeri ...\\","[[Looses]] the [[Wartime]] on [[Terrorist]] \\""[[Jörg]] Jaschan, self-confessed [[screenwriter]] of the Netsky and Sasser [[influenza]], is\[[accountable]] for 70 [[phosphorus]] of virus [[wounded]] in 2004, according to a six-month\virus roundup [[edited]] [[Today]] by antivirus [[societies]] Sophos.""\\""The 18-year-old Jaschan was [[brought]] into [[arresting]] in Germany in [[Possible]] by [[policeman]] who\[[commented]] he [[did]] [[conceded]] [[programmes]] both the Netsky and Sasser [[verses]], something\[[specialised]] at Microsoft confirmed. ([[another]] Microsoft [[virus]] [[wage]] [[scheduled]] [[prompted]] to the\teenager's [[prisoner]].) [[Roundabout]] the five [[mois]] [[aforementioned]] Jaschan's [[seizure]], there\were at least 25 [[variation]] of Netsky and one of the port-scanning network [[voir]]\Sasser.""\\""[[Duncan]] Cluley, senior [[technique]] [[advisers]] at Sophos, [[confirmed]] it was staggeri ...\\",0.00021308660507202148,0.01166081428527832,3,3,3,1141,"Failed"
"FOAFKey: FOAF, PGP, [[Key]] [[Distribution]], and [[Bloom]] Filters \\FOAF/[[LOAF]]  and [[bloom]] filters [[have]] a [[lot]] of [[interesting]] [[properties]] for [[social]]\[[network]] and whitelist [[distribution]].\\I [[think]] we can [[go]] one level [[higher]] [[though]] and [[include]] GPG/OpenPGP [[key]]\fingerpring distribution in the FOAF [[file]] for [[simple]] web-of-trust [[based]] [[key]]\[[distribution]].\\What if we used FOAF and [[included]] the PGP [[key]] [[fingerprint]](s) for [[identities]]?\[[This]] could [[mean]] a [[lot]].  You [[include]] the PGP [[key]] [[fingerprints]] within the FOAF\[[file]] of your [[direct]] [[friends]] and then [[include]] a bloom [[filter]] of the PGP [[key]]\[[fingerprints]] of your [[entire]] whitelist (the [[source]] FOAF [[file]] would of [[course]] [[need]]\to [[be]] [[encrypted]] ).\\Your whitelist would [[be]] [[populated]] from the [[social]] [[network]] as your [[client]]\[[discovered]] [[new]] identit ...\\","FOAFKey: FOAF, PGP, [[Elementary]] [[Spanned]], and [[Floral]] Filters \\FOAF/[[BAKING]]  and [[flourishing]] filters [[could]] a [[multiple]] of [[thrilling]] [[featuring]] for [[sympathetic]]\[[grills]] and whitelist [[syndication]].\\I [[notion]] we can [[gonna]] one level [[more]] [[although]] and [[includes]] GPG/OpenPGP [[elemental]]\fingerpring distribution in the FOAF [[dossier]] for [[facile]] web-of-trust [[depended]] [[elementary]]\[[circulate]].\\What if we used FOAF and [[constituted]] the PGP [[primordial]] [[print]](s) for [[identity]]?\[[These]] could [[averages]] a [[shipments]].  You [[implicate]] the PGP [[crucial]] [[fingerprinting]] within the FOAF\[[roster]] of your [[outspoken]] [[boyfriend]] and then [[involve]] a bloom [[strainer]] of the PGP [[basic]]\[[impression]] of your [[general]] whitelist (the [[beginnings]] FOAF [[archived]] would of [[manner]] [[gotta]]\to [[ser]] [[ciphers]] ).\\Your whitelist would [[have]] [[occupied]] from the [[sociable]] [[net]] as your [[eaters]]\[[fossils]] [[recent]] identit ...\\",0.00020104646682739258,0.0009383559226989746,3,3,3,1461,"Failed"
"E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its [[fraud]] [[squad]] [[chief]] was targeted.","E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its [[hoax]] [[battalion]] [[leiter]] was targeted.",0.022804677486419678,0.5474941730499268,3,0,3,121,"Successful"
"Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated [[card]] fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated [[cards]] fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",0.017461299896240234,0.9704490900039673,3,2,3,41,"Successful"
"[[Group]] to [[Propose]] New High-Speed Wireless [[Format]]  LOS ANGELES ([[Reuters]]) - A [[group]] of technology companies  including Texas Instruments [[Inc]]. &[[lt]];TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &[[lt]];BRCM.O&gt;, on [[Thursday]] said they  will [[propose]] a new wireless networking [[standard]] up to 10 [[times]]  the [[speed]] of the current generation.","[[Pools]] to [[Projects]] New High-Speed Wireless [[Formulas]]  LOS ANGELES ([[Newsday]]) - A [[regrouped]] of technology companies  including Texas Instruments [[Ltd]]. &[[ensign]];TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &[[ensign]];BRCM.O&gt;, on [[Yesterday]] said they  will [[nominate]] a new wireless networking [[stallion]] up to 10 [[juncture]]  the [[rapidity]] of the current generation.",0.0015039443969726562,0.5348551273345947,3,2,3,378,"Successful"
"Apple Launches [[Graphics]] Software, [[Video]] Bundle  LOS ANGELES ([[Reuters]]) - Apple Computer Inc.&[[lt]];AAPL.O&gt; on  Tuesday began [[shipping]] a new program [[designed]] to [[let]] users  [[create]] real-time motion [[graphics]] and [[unveiled]] a discount  video-editing software [[bundle]] [[featuring]] its flagship [[Final]] [[Cut]]  Pro software.","Apple Launches [[Charting]] Software, [[Films]] Bundle  LOS ANGELES ([[Newsday]]) - Apple Computer Inc.&[[tl]];AAPL.O&gt; on  Tuesday began [[freight]] a new program [[directed]] to [[letting]] users  [[creates]] real-time motion [[cards]] and [[reveals]] a discount  video-editing software [[parcel]] [[starring]] its flagship [[Semifinal]] [[Decrease]]  Pro software.",0.002693653106689453,0.5189704895019531,3,2,3,499,"Successful"
